張海山診所,花蓮縣,花蓮市,AstraZeneca,3545012827,花蓮縣花蓮市中正路191號1樓,03-8353777
江洱診所,花蓮縣,花蓮市,AstraZeneca,3545012327,花蓮縣花蓮市建國路252號,03-8311717
謝文億診所,花蓮縣,花蓮市,AstraZeneca,3545012523,花蓮縣花蓮市中美路63號,03-8336635
陳耳鼻喉科診所,花蓮縣,花蓮市,AstraZeneca,3545012354,花蓮縣花蓮市光復街15號,03-8322878
全人診所,花蓮縣,花蓮市,AstraZeneca,3545012498,花蓮縣花蓮市中福路158號,03-8358568
佳佳診所,花蓮縣,花蓮市,AstraZeneca,3545011222,花蓮縣花蓮市中山路142之7號,03-8337437
張曉昇診所,花蓮縣,吉安鄉,AstraZeneca,3545050345,花蓮縣吉安鄉永安村建國路2段223之1號,03-8576771
自強耳鼻喉科診所,花蓮縣,吉安鄉,AstraZeneca,3545051502,花蓮縣吉安鄉北昌村自強路568號,03-8561277
初鹿診所,臺東縣,卑南鄉,AstraZeneca,3546041171,臺東縣卑南鄉明峰村文泰路8號,089-570618
衛生福利部臺東醫院成功分院,臺東縣,成功鎮,AstraZeneca,146020537,臺東縣成功鎮中山東路32號,089-324112
李旺駿耳鼻喉科診所,臺東縣,台東市,AstraZeneca,3546012358,臺東縣臺東市中華路一段317號,089-310568
尤憲明內科小兒科診所,臺東縣,台東市,AstraZeneca,3546012072,臺東縣臺東市中華路1段396號,089-323306
小太陽小兒科診所,臺東縣,台東市,AstraZeneca,3546012376,臺東縣臺東市光明路124號,089-349106
裕成耳鼻喉科診所,高雄市,三民區,AstraZeneca,3507321194,高雄市三民區裕誠路90號1樓,07-3457832
建欣診所,高雄市,三民區,AstraZeneca,3507321283,高雄市三民區正興路213號1樓,07-3808856
范雅修小兒科診所,高雄市,三民區,AstraZeneca,3502052498,高雄市三民區平等路163號一樓,07-3876366
吉星小兒科診所,高雄市,三民區,AstraZeneca,3502052523,高雄市三民區天祥一路135－1號1樓,07-3487936
羅韻珊小兒科診所,高雄市,三民區,AstraZeneca,3502051642,高雄市三民區大豐二路110-1號1樓,07-3870430
王婦產科診所,高雄市,三民區,AstraZeneca,3502052149,高雄市三民區九如一路440，442，444號1，2樓,07-3873979
謝明容耳鼻喉科診所,高雄市,三民區,AstraZeneca,3502054465,高雄市三民區大昌二路142號1樓,07-3973999
儲昭仁耳鼻喉科診所,高雄市,三民區,AstraZeneca,3502052345,高雄市三民區九如一路854號1樓,07-3890470
董金山診所,高雄市,三民區,AstraZeneca,3502050378,高雄市三民區本武里大昌二路544號,07-3833405
王漢卿小兒科診所,高雄市,三民區,AstraZeneca,3502052292,高雄市三民區寶國里陽明路132號1樓,07-3877918
曾柏彰診所,高雄市,三民區,AstraZeneca,3507320688,高雄市三民區鼎力路339號1樓,07-3103216
陳志宇診所,高雄市,三民區,AstraZeneca,3507321023,高雄市三民區覺民路186號1樓,07-3833282
蕭瑞榮小兒科診所,高雄市,三民區,AstraZeneca,3502051375,高雄市三民區建工路531．533號1樓,07-3867121
張殷彰診所,高雄市,三民區,AstraZeneca,3502054125,高雄市三民區建工路531．533號一樓,07-3867121
柳雱邁診所,高雄市,三民區,AstraZeneca,3507320035,高雄市三民區大順二路96號1樓,07-3895640
緯立診所,高雄市,三民區,AstraZeneca,3507321247,高雄市三民區建元路30號1樓,07-3850785
真善美診所,高雄市,三民區,AstraZeneca,3507320375,高雄市三民區覺民路69號1樓2樓,07-3945929
曾繁英診所,高雄市,三民區,AstraZeneca,3502051348,高雄市三民區自立一路267號,07-3111048
樂田耳鼻喉科診所,高雄市,三民區,AstraZeneca,3507320642,高雄市三民區熱河一街365號1樓,07-3115999
高鳳診所,高雄市,三民區,AstraZeneca,3502054652,高雄市三民區灣中街328號一樓,07-3865481
怡碩耳鼻喉科診所,高雄市,三民區,AstraZeneca,3507321407,高雄市三民區建工路589號1樓,07-3808169
王俊仁耳鼻喉科診所,高雄市,三民區,AstraZeneca,3502052121,高雄市三民區本揚里陽明路416號1樓,07-3959039
鼎山診所,高雄市,三民區,AstraZeneca,3507320277,高雄市三民區鼎華路12號1～2樓,07-3800000
國安診所,高雄市,三民區,AstraZeneca,3507320955,高雄市三民區建興路193號1－2樓,07-3865379
福欣耳鼻喉科診所,高雄市,三民區,AstraZeneca,3507321292,高雄市三民區十全一路365號1樓,07-3120269
徐樹本小兒科診所,高雄市,三民區,AstraZeneca,3502051599,高雄市三民區建興路373號,07-3867833
育明診所,高雄市,三民區,AstraZeneca,3502052694,高雄市三民區民族一路537號一樓．二樓,07-3478461
元成診所,高雄市,三民區,AstraZeneca,3502055293,高雄市三民區寶業里陽明路81號1樓,07-3903808
崇田耳鼻喉科診所,高雄市,三民區,AstraZeneca,3507320231,高雄市三民區建工路302號1樓,07-3899900
維揚耳鼻喉科診所,高雄市,三民區,AstraZeneca,3507321390,高雄市三民區熱河一街402號1樓,07-3131066
